代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
603459.SH,红板科技,元器件,33.25,09:45,52.0,52.94,57.7,225.9887
000720.SZ,新能泰山,电气设备,27.32,09:45,6.95,6.95,6.7,2.6034
002902.SZ,铭普光磁,通信设备,26.65,09:45,29.37,29.37,29.37,10.0
605162.SH,新中港,供气供热,25.42,09:45,14.13,14.39,15.48,10.0213
002207.SZ,准油股份,石油开采,21.84,09:45,7.52,7.52,7.85,-6.1005
000890.SZ,法尔胜,环境保护,21.26,09:45,15.85,16.63,15.87,-9.8807
600488.SH,津药药业,化学制药,19.93,09:45,8.36,8.15,7.36,-4.0417
002873.SZ,新天药业,中成药,19.76,09:45,13.09,13.09,11.32,-4.8739
001257.SZ,盛龙股份,小金属,18.86,09:45,22.8,24.1,24.12,4.1001
002788.SZ,鹭燕医药,医药商业,18.0,09:45,19.25,19.2,18.13,-6.7387
300651.SZ,金陵体育,文教休闲,17.89,09:45,32.8,33.4,33.22,2.5309
605299.SH,舒华体育,文教休闲,16.73,09:45,23.0,22.9,21.66,-6.0711
300571.SZ,平治信息,互联网,16.51,09:45,31.62,36.61,36.61,19.9934
603687.SH,大胜达,广告包装,16.26,09:45,17.1,17.15,17.36,5.9829
301630.SZ,同宇新材,化工原料,15.73,09:45,227.0,220.83,229.5,8.2956
301683.SZ,C慧谷,染料涂料,15.22,09:45,114.0,118.68,115.72,5.0281
600722.SH,金牛化工,化工原料,15.15,09:45,13.83,14.49,14.84,2.2039
603122.SH,合富中国,医药商业,15.08,09:45,20.21,20.84,19.87,-4.9737
603585.SH,苏利股份,农药化肥,14.96,09:45,23.04,23.62,23.35,-8.7891
600654.SH,中安科,仓储物流,14.95,09:45,4.0,4.4,4.4,10.0
002361.SZ,神剑股份,化工原料,14.58,09:45,15.41,16.5,16.78,10.0328
000919.SZ,金陵药业,化学制药,14.42,09:45,8.5,8.91,8.91,10.0
603123.SH,翠微股份,多元金融,13.96,09:45,12.81,13.32,13.33,1.2918
300821.SZ,东岳硅材,化工原料,13.85,09:45,14.1,14.0,14.07,5.0784
300164.SZ,通源石油,石油开采,13.64,09:45,13.93,14.27,14.0,-10.9415
688813.SH,C泰金,专用机械,13.54,09:45,43.74,45.48,48.63,14.9374
002980.SZ,华盛昌,电器仪表,13.51,09:45,55.0,51.66,52.86,4.2604
603042.SH,华脉科技,通信设备,12.32,09:45,22.59,22.47,22.32,-2.1482
002560.SZ,通达股份,电气设备,12.18,09:45,13.12,13.16,13.55,2.2642
002181.SZ,粤传媒,出版业,12.1,09:45,12.4,12.99,12.99,9.9915
301309.SZ,万得凯,机械基件,11.88,09:45,37.86,37.7,40.4,9.4554
603353.SH,和顺石油,石油贸易,11.69,09:45,38.55,41.22,40.98,1.2602
601133.SH,柏诚股份,建筑工程,11.53,09:45,22.44,22.06,22.44,4.713
300166.SZ,东方国信,软件服务,11.45,09:45,15.65,16.75,16.93,15.0136
603327.SH,福蓉科技,元器件,11.36,09:45,10.13,10.4,10.29,5.3224
000815.SZ,美利云,通信设备,10.85,09:45,19.64,20.1,20.31,6.5582
301191.SZ,菲菱科思,通信设备,10.68,09:45,149.0,154.18,150.57,3.5272
003018.SZ,金富科技,塑料,10.62,09:45,29.0,30.6,30.91,8.3421
301373.SZ,凌玮科技,化工原料,10.59,09:45,83.36,85.7,81.8,-1.2793
603211.SH,晋拓股份,汽车配件,10.24,09:45,24.26,25.28,26.09,9.9916
002828.SZ,贝肯能源,石油开采,10.19,09:45,12.51,12.52,12.51,-10.0
600396.SH,华电辽能,火力发电,10.08,09:45,7.37,7.49,7.68,2.1277
