代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
688813.SH,泰金新能,专用机械,30.09,09:30-09:45,49.00,50.58,49.47,+88.24
001257.SZ,盛龙股份,小金属,25.63,09:30-09:45,23.46,21.40,27.68,+253.96
605299.SH,舒华体育,文教休闲,25.35,09:30-09:45,19.43,21.33,21.33,+10.01
301008.SZ,宏昌科技,家用电器,23.39,09:30-09:45,41.45,40.27,42.29,+20.01
600310.SH,广西能源,水力发电,22.63,09:30-09:45,5.69,6.16,6.34,+0.32
300344.SZ,*ST立方,软件服务,21.49,09:30-09:45,0.60,0.57,0.50,-73.26
000995.SZ,皇台酒业,白酒,20.69,09:30-09:45,15.19,15.07,15.00,+3.88
000592.SZ,平潭发展,林业,20.67,09:30-09:45,12.06,12.78,12.78,+9.98
603601.SH,再升科技,玻璃,20.46,09:30-09:45,14.50,15.07,15.49,+6.83
600396.SH,华电辽能,火力发电,19.98,09:30-09:45,7.52,7.70,8.35,+3.21
600149.SH,廊坊发展,综合类,19.67,09:30-09:45,6.90,7.18,7.04,+4.30
603017.SH,中衡设计,建筑工程,19.57,09:30-09:45,16.20,15.81,16.32,+3.55
603538.SH,美诺华,化学制药,18.88,09:30-09:45,43.97,40.64,40.90,-5.10
300300.SZ,海峡创新,软件服务,18.75,09:30-09:45,14.41,15.24,14.82,+4.37
600726.SH,华电能源,火力发电,18.52,09:30-09:45,5.60,5.87,6.41,+6.66
603122.SH,合富中国,医药商业,18.25,09:30-09:45,16.97,17.74,17.36,+2.60
002342.SZ,巨力索具,机械基件,17.60,09:30-09:45,12.96,14.26,14.40,+10.01
600844.SH,金煤科技,化工原料,17.24,09:30-09:45,5.05,5.01,4.87,-6.35
301048.SZ,金鹰重工,运输设备,17.18,09:30-09:45,10.81,12.40,13.09,+19.98
003042.SZ,中农联合,农药化肥,17.08,09:30-09:45,19.92,19.13,18.61,-5.87
000890.SZ,法尔胜,环境保护,16.10,09:30-09:45,14.42,15.20,15.43,+4.05
301079.SZ,邵阳液压,机械基件,15.98,09:30-09:45,37.00,42.98,44.76,+20.00
002309.SZ,中利集团,电气设备,15.54,09:30-09:45,4.80,4.84,4.94,+3.78
600488.SH,津药药业,化学制药,15.43,09:30-09:45,4.99,5.24,5.24,+10.08
000720.SZ,新能泰山,电气设备,15.18,09:30-09:45,4.60,5.21,5.46,+10.08
600758.SH,辽宁能源,煤炭开采,14.53,09:30-09:45,4.58,4.67,4.56,-8.43
300385.SZ,雪浪环境,环境保护,13.96,09:30-09:45,19.82,20.04,20.62,+4.04
300683.SZ,海特生物,生物制药,13.80,09:30-09:45,42.12,45.15,43.36,+2.90
000037.SZ,深南电A,火力发电,13.56,09:30-09:45,11.60,12.16,13.02,+9.97
300834.SZ,星辉环材,化工原料,13.30,09:30-09:45,30.18,30.20,30.20,+19.98
603618.SH,杭电股份,电气设备,13.22,09:30-09:45,27.00,28.74,28.49,+6.66
002218.SZ,拓日新能,新型电力,13.15,09:30-09:45,6.31,6.69,6.93,+10.00
002580.SZ,圣阳股份,电气设备,13.14,09:30-09:45,16.12,16.59,17.61,+9.99
600722.SH,金牛化工,化工原料,13.07,09:30-09:45,16.01,16.00,14.87,-9.88
000993.SZ,闽东电力,水力发电,12.94,09:30-09:45,14.84,16.31,16.31,+9.98
301128.SZ,强瑞技术,专用机械,12.85,09:30-09:45,138.01,148.88,148.03,+9.22
002620.SZ,ST瑞和,装修装饰,12.84,09:30-09:45,9.20,8.80,9.30,+1.97
002361.SZ,神剑股份,化工原料,12.50,09:30-09:45,16.15,16.50,16.50,+10.00
600343.SH,航天动力,机械基件,12.41,09:30-09:45,32.58,33.84,34.38,+5.52
601908.SH,京运通,电气设备,12.28,09:30-09:45,4.49,5.01,5.01,+10.11
002160.SZ,常铝股份,铝,12.14,09:30-09:45,5.79,5.61,5.38,-2.00
