代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
688811.SH,有研复材,小金属,27.86,09:45,24.4,26.06,25.97,9.026
603178.SH,圣龙股份,汽车配件,27.36,09:45,18.51,21.08,21.08,10.0209
688820.SH,盛合晶微,半导体,24.96,09:45,99.72,75.6,76.65,289.4817
001312.SZ,福恩股份,纺织,24.71,09:45,36.51,33.57,30.57,66.3221
002418.SZ,康盛股份,家用电器,22.64,09:45,6.9,6.33,6.13,-9.9853
002560.SZ,通达股份,电气设备,21.65,09:45,16.14,14.7,14.18,-7.1382
002361.SZ,神剑股份,化工原料,21.59,09:45,21.47,22.69,22.69,9.9855
605388.SH,均瑶健康,乳制品,21.23,09:45,8.26,8.38,7.95,-4.3321
603189.SH,网达软件,软件服务,20.62,09:45,12.61,13.6,14.2,3.4232
002297.SZ,博云新材,航空,19.93,09:45,20.69,19.65,18.99,-2.4152
300540.SZ,蜀道装备,专用机械,16.79,09:45,28.49,28.58,28.1,5.4805
600330.SH,天通股份,专用机械,16.47,09:45,23.9,24.39,23.52,-1.59
605299.SH,舒华体育,文教休闲,16.39,09:45,20.92,20.99,21.04,2.4842
001366.SZ,播恩集团,饲料,15.69,09:45,15.0,15.87,15.14,-3.135
605162.SH,新中港,供气供热,15.61,09:45,14.49,13.99,13.86,-1.0707
301667.SZ,纳百川,汽车配件,15.51,09:45,99.8,104.1,115.9,15.0715
603278.SH,大业股份,钢加工,15.38,09:45,12.32,13.8,13.24,4.664
603687.SH,大胜达,广告包装,15.18,09:45,19.52,18.08,19.55,2.4096
002843.SZ,泰嘉股份,钢加工,14.42,09:45,27.5,26.4,26.68,-4.6462
603773.SH,沃格光电,元器件,14.37,09:45,60.0,62.34,58.51,0.5499
300801.SZ,泰和科技,化工原料,14.31,09:45,28.72,30.69,30.88,15.6121
600156.SH,华升股份,纺织,14.23,09:45,11.21,11.21,9.79,-3.9254
002033.SZ,丽江股份,旅游景点,14.05,09:45,10.76,11.33,10.69,-2.9946
688270.SH,臻镭科技,半导体,13.73,09:45,152.0,149.98,147.76,-15.6428
000889.SZ,中嘉博创,通信设备,13.39,09:45,4.76,4.84,4.66,-9.3385
003018.SZ,金富科技,塑料,13.17,09:45,44.0,47.45,47.45,9.9907
002149.SZ,西部材料,小金属,13.16,09:45,62.79,61.58,61.33,1.7419
002217.SZ,合力泰,元器件,12.94,09:45,3.07,2.94,2.98,1.0169
000890.SZ,法尔胜,环境保护,12.84,09:45,13.08,13.93,14.59,7.6753
301666.SZ,C大普微-UW,IT设备,12.73,09:45,233.4,217.46,214.55,-9.8492
600396.SH,华电辽能,火力发电,12.71,09:45,7.4,7.02,8.13,10.0135
002300.SZ,太阳电缆,电气设备,12.66,09:45,10.63,10.39,10.34,-0.7678
002990.SZ,盛视科技,软件服务,12.5,09:45,48.88,45.17,45.15,-7.8571
002491.SZ,通鼎互联,通信设备,12.41,09:45,16.67,16.85,16.75,0.6611
301513.SZ,C尚水,专用机械,12.19,09:45,93.77,93.18,100.02,3.5833
002565.SZ,顺灏股份,造纸,12.11,09:45,22.32,22.32,22.32,10.0049
605006.SH,山东玻纤,玻璃,12.07,09:45,10.27,10.98,10.76,3.0651
001896.SZ,豫能控股,火力发电,11.87,09:45,18.78,17.46,17.1,-8.9941
603778.SH,国晟科技,电气设备,11.8,09:45,27.94,29.35,29.0,8.6957
600749.SH,西藏旅游,旅游景点,11.72,09:45,20.0,21.04,20.99,3.45
600103.SH,青山纸业,造纸,11.66,09:45,4.71,4.82,5.2,9.9366
002866.SZ,传艺科技,IT设备,11.47,09:45,26.38,27.41,26.55,-0.3004
301587.SZ,中瑞股份,电气设备,11.45,09:45,27.5,29.61,28.95,4.5126
002536.SZ,飞龙股份,汽车配件,11.4,09:45,38.0,39.25,38.5,-6.0059
002309.SZ,中利集团,电气设备,11.33,09:45,4.51,4.36,4.31,-1.5982
002980.SZ,华盛昌,电器仪表,11.29,09:45,76.12,80.4,82.2,5.3846
002542.SZ,中化岩土,建筑工程,11.27,09:45,2.15,1.99,1.96,-4.3902
600152.SH,维科技术,电气设备,11.11,09:45,13.81,13.05,13.01,-6.6045
002802.SZ,洪汇新材,化工原料,11.02,09:45,14.53,14.81,14.79,-5.7361
605222.SH,起帆电缆,电气设备,10.94,09:45,32.1,32.35,32.5,4.0333
002940.SZ,昂利康,化学制药,10.86,09:45,39.29,39.48,39.12,-1.7085
603538.SH,美诺华,化学制药,10.83,09:45,51.28,53.36,52.53,2.1786
600488.SH,津药药业,化学制药,10.79,09:45,6.4,6.62,6.31,-1.5601
000586.SZ,汇源通信,通信设备,10.72,09:45,21.04,20.21,20.45,-4.1706
603293.SH,C埃泰克,汽车配件,10.66,09:45,59.05,57.75,57.7,-5.0206
003023.SZ,彩虹集团,家用电器,10.61,09:45,33.32,31.21,31.18,-1.7643
301486.SZ,致尚科技,元器件,10.59,09:45,167.6,185.0,209.06,19.9977
002580.SZ,圣阳股份,电气设备,10.28,09:45,29.9,29.7,29.7,-10.0
002328.SZ,新朋股份,汽车配件,10.15,09:45,12.36,11.97,11.9,-4.8761
300503.SZ,昊志机电,机械基件,10.14,09:45,64.0,66.36,61.14,-2.082
301696.SZ,三瑞智能,电气设备,10.1,09:45,103.0,97.4,96.75,-5.1471
600743.SH,华远控股,区域地产,10.04,09:45,2.51,2.67,2.6,0.3861
301399.SZ,英特科技,机械基件,10.02,09:45,24.2,23.3,23.31,-8.011
