代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
600488.SH,津药药业,化学制药,28.04,09:45,7.15,7.53,7.08,-3.8043
002181.SZ,粤传媒,出版业,25.92,09:45,13.92,13.9,12.85,-1.0778
603538.SH,美诺华,化学制药,22.77,09:45,46.5,45.32,45.5,5.2266
000919.SZ,金陵药业,化学制药,21.9,09:45,8.99,9.8,8.58,-3.7037
002342.SZ,巨力索具,机械基件,21.73,09:45,14.5,15.59,15.59,10.0212
002902.SZ,铭普光磁,通信设备,20.68,09:45,29.91,29.05,28.83,-1.8386
000586.SZ,汇源通信,通信设备,20.01,09:45,25.0,25.12,25.12,9.9825
600126.SH,杭钢股份,普钢,18.6,09:45,10.24,10.13,9.49,1.9334
600654.SH,中安科,仓储物流,18.47,09:45,4.84,4.84,4.48,1.8182
603459.SH,红板科技,元器件,17.71,09:45,53.6,53.0,50.27,-12.8769
002051.SZ,中工国际,建筑工程,17.62,09:45,12.5,12.68,11.5,-0.2602
600666.SH,奥瑞德,元器件,17.59,09:45,7.15,6.81,6.56,0.9231
000788.SZ,北大医药,化学制药,17.41,09:45,6.45,6.87,6.74,3.2159
600721.SH,百花医药,生物制药,17.18,09:45,11.2,10.65,10.2,-8.9286
002788.SZ,鹭燕医药,医药商业,17.1,09:45,17.76,18.38,16.62,-8.3287
301070.SZ,开勒股份,机械基件,16.79,09:45,104.9,102.08,98.5,8.0044
000720.SZ,新能泰山,电气设备,15.93,09:45,6.5,6.11,6.03,-10.0
000815.SZ,美利云,通信设备,15.8,09:45,20.74,20.3,20.09,-1.0832
002491.SZ,通鼎互联,通信设备,15.69,09:45,15.59,14.56,16.14,6.1842
605162.SH,新中港,供气供热,15.31,09:45,14.7,14.37,14.15,-8.5917
000978.SZ,桂林旅游,旅游景点,15.28,09:45,8.3,7.87,7.92,-1.6149
001257.SZ,盛龙股份,小金属,14.85,09:45,24.21,23.75,23.58,-2.2388
300489.SZ,光智科技,专用机械,14.75,09:45,51.0,61.13,61.44,20.0
002107.SZ,沃华医药,中成药,14.75,09:45,6.92,7.65,7.65,10.0719
002361.SZ,神剑股份,化工原料,14.55,09:45,16.78,17.03,16.41,-2.205
601133.SH,柏诚股份,建筑工程,14.04,09:45,22.44,24.41,24.68,9.9822
300164.SZ,通源石油,石油开采,13.6,09:45,14.46,14.1,14.35,2.5
002207.SZ,准油股份,石油开采,13.0,09:45,7.64,7.7,7.99,1.7834
605189.SH,富春染织,纺织,12.98,09:45,16.02,16.02,16.02,10.0275
002873.SZ,新天药业,中成药,12.8,09:45,10.52,11.26,10.8,-4.5936
002560.SZ,通达股份,电气设备,12.73,09:45,13.03,13.42,13.27,-2.0664
000070.SZ,特发信息,通信设备,12.62,09:45,18.67,18.21,20.88,10.0105
688268.SH,华特气体,化工原料,12.38,09:45,97.6,105.04,102.1,7.0904
002598.SZ,ST章鼓,机械基件,12.3,09:45,7.9,7.9,7.93,-4.6875
002213.SZ,大为股份,半导体,12.21,09:45,30.16,32.07,32.51,10.0169
605299.SH,舒华体育,文教休闲,12.14,09:45,21.4,22.01,21.76,0.4617
688813.SH,C泰金,专用机械,12.06,09:45,46.5,50.2,50.5,3.8454
002995.SZ,天地在线,互联网,12.01,09:45,24.75,24.62,24.84,0.3231
603158.SH,腾龙股份,汽车配件,11.97,09:45,12.7,12.81,13.16,6.9919
603122.SH,合富中国,医药商业,11.84,09:45,19.0,19.34,18.32,-7.8007
600722.SH,金牛化工,化工原料,11.82,09:45,14.94,14.3,14.66,-1.2129
301053.SZ,远信工业,专用机械,11.68,09:45,51.0,53.0,53.78,7.56
000078.SZ,海王生物,医药商业,11.64,09:45,3.46,3.84,3.84,10.0287
002957.SZ,科瑞技术,专用机械,11.55,09:45,38.88,38.35,37.57,1.4035
001256.SZ,炜冈科技,轻工机械,11.47,09:45,22.65,22.82,24.0,5.8668
002580.SZ,圣阳股份,电气设备,11.39,09:45,15.5,15.38,17.25,10.0128
603042.SH,华脉科技,通信设备,11.35,09:45,21.99,22.4,23.34,4.5699
688693.SH,锴威特,半导体,11.33,09:45,65.11,71.0,78.5,17.3042
605005.SH,合兴股份,汽车配件,11.17,09:45,19.63,19.79,21.17,8.0102
002975.SZ,博杰股份,专用机械,11.11,09:45,83.21,86.9,86.9,10.0
000890.SZ,法尔胜,环境保护,11.08,09:45,15.39,15.19,15.79,-0.5041
000818.SZ,航锦科技,化工原料,11.08,09:45,15.63,15.88,15.36,-1.6645
301362.SZ,民爆光电,电气设备,10.82,09:45,125.98,126.88,136.2,8.0952
300679.SZ,电连技术,元器件,10.79,09:45,41.0,44.24,44.07,9.7361
300651.SZ,金陵体育,文教休闲,10.6,09:45,33.33,34.09,34.02,2.4082
603687.SH,大胜达,广告包装,10.56,09:45,16.89,16.87,18.16,4.6083
603629.SH,利通电子,元器件,10.48,09:45,71.42,74.79,74.62,5.9943
603757.SH,大元泵业,机械基件,10.38,09:45,48.88,49.59,54.16,9.9919
000889.SZ,中嘉博创,通信设备,10.28,09:45,3.66,3.95,3.95,10.0279
002565.SZ,顺灏股份,造纸,10.15,09:45,17.05,17.38,17.23,0.2327
002929.SZ,润建股份,通信设备,10.12,09:45,53.93,54.28,53.64,2.8374
688485.SH,九州一轨,运输设备,10.06,09:45,41.25,43.74,39.7,-1.2683
301309.SZ,万得凯,机械基件,10.02,09:45,38.57,37.69,36.53,-9.5792
