代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
605162.SH,新中港,供气供热,23.72,09:45,12.79,13.11,14.07,10.0078
605299.SH,舒华体育,文教休闲,13.88,09:45,19.12,20.23,23.06,10.0191
603122.SH,合富中国,医药商业,18.45,09:45,19.1,19.24,20.91,3.8232
603585.SH,苏利股份,农药化肥,18.72,09:45,24.51,25.04,25.6,4.4472
002560.SZ,通达股份,电气设备,24.47,09:45,12.52,13.52,13.25,4.9921
001257.SZ,同力日升,小金属,10.15,09:45,21.49,22.05,23.17,4.0881
603538.SH,美诺华,化学制药,17.95,09:45,40.8,38.95,39.31,-1.725
600250.SH,龙净环保,商贸代理,12.08,09:45,12.6,12.6,13.61,10.0243
000950.SZ,重药控股,医药商业,12.5,09:45,7.27,6.88,7.14,0.0
002263.SZ,华西股份,塑料,13.61,09:45,4.59,4.81,4.91,5.3648
600396.SH,金山股份,火力发电,10.39,09:45,7.09,7.29,7.52,6.2147
002788.SZ,鹭燕医药,医药商业,12.97,09:45,17.3,17.09,19.44,10.017
301008.SZ,怡和嘉业,家用电器,11.18,09:45,39.0,39.07,36.87,-12.4852
002309.SZ,中利集团,电气设备,12.21,09:45,5.03,5.14,5.23,3.9761
600513.SH,联环药业,化学制药,11.37,09:45,26.72,26.34,24.96,-9.8266
000788.SZ,北大医药,化学制药,17.54,09:45,7.08,6.84,6.91,-3.0856
600488.SH,津药药业,化学制药,26.42,09:45,7.3,7.26,7.67,10.043
002792.SZ,通宇通讯,通信设备,12.68,09:45,44.58,45.68,47.53,4.8302
002828.SZ,贝肯能源,石油开采,12.81,09:45,13.2,13.19,13.9,0.7246
301312.SZ,智立方,专用机械,15.07,09:45,116.92,129.0,118.26,3.1757
002902.SZ,铭普光磁,通信设备,11.34,09:45,26.73,27.02,26.7,-1.1111
300812.SZ,易天股份,专用机械,10.53,09:45,39.6,39.14,38.52,-4.8889
002038.SZ,双鹭药业,生物制药,12.42,09:45,8.64,8.34,8.6,-4.2316
002051.SZ,崧盛股份,建筑工程,18.3,09:45,9.89,10.48,10.48,9.9685
002980.SZ,华盛昌,电器仪表,17.49,09:45,47.72,50.41,50.7,10.0022
300069.SZ,金利华电,电气设备,12.61,09:45,22.59,24.35,24.1,6.1674
000617.SZ,中油资本,多元金融,12.28,09:45,10.72,11.16,11.53,7.757
002580.SZ,圣阳股份,电气设备,12.42,09:45,15.05,15.97,16.09,4.6845
600594.SH,益佰制药,中成药,12.66,09:45,4.67,4.49,5.01,6.5957
300265.SZ,易华录,电气设备,14.72,09:45,17.4,19.53,18.8,8.4198
600722.SH,金牛化工,化工原料,11.17,09:45,13.46,13.59,14.52,10.0
603008.SH,喜临门,家居用品,10.24,09:45,11.85,12.18,12.52,1.7059
300006.SZ,莱美药业,化学制药,11.34,09:45,6.23,6.07,6.02,-7.6687
002686.SZ,亿利达,专用机械,10.16,09:45,7.88,7.15,7.48,-5.1965
002952.SZ,亚世光电,元器件,11.58,09:45,25.71,26.01,25.49,1.2311
002565.SZ,上海莱士,造纸,15.37,09:45,15.67,16.35,16.02,5.3947
603629.SH,利通电子,元器件,13.01,09:45,59.5,64.21,64.0,7.7078
301630.SZ,赛分科技,化工原料,22.04,09:45,195.2,211.92,211.92,20.0
002491.SZ,通鼎互联,通信设备,17.2,09:45,12.56,13.82,13.82,10.0318
002181.SZ,中成股份,出版业,10.1,09:45,11.08,11.14,11.81,9.9628
603687.SH,大胜达,广告包装,12.01,09:45,15.19,15.87,16.38,10.0067
605303.SH,电气风电,建筑工程,12.65,09:45,19.0,17.95,18.3,2.9826
002873.SZ,兴瑞科技,中成药,11.06,09:45,10.71,11.59,11.9,9.9815
301373.SZ,港迪技术,化工原料,10.18,09:45,69.9,77.84,82.86,20.0
603042.SH,华脉科技,通信设备,18.72,09:45,20.74,22.81,22.81,9.9807
000890.SZ,法尔胜,环境保护,17.76,09:45,17.61,17.61,17.61,9.9938
600654.SH,中安消,仓储物流,11.7,09:45,3.85,4.0,4.0,9.8901
603123.SH,翠微股份,多元金融,14.47,09:45,12.3,13.16,13.16,10.0334
