代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
605162.SH,新中港,供气供热,31.0799,09:45,14.48,13.2,12.79,-8.968
000788.SZ,北大医药,化学制药,28.456,09:45,7.4,7.66,7.13,-1.2465
002560.SZ,通达股份,电气设备,26.4093,09:45,13.78,12.99,12.62,-3.3691
002828.SZ,贝肯能源,石油开采,25.786,09:45,15.17,14.09,13.8,0.0725
300834.SZ,星辉环材,化工原料,21.1182,09:45,47.0,52.03,46.72,7.427
603122.SH,合富中国,医药商业,22.6032,09:45,18.69,19.31,20.14,7.7582
603538.SH,美诺华,化学制药,20.134,09:45,40.2,43.41,40.0,-5.482
000720.SZ,新能泰山,电气设备,20.4089,09:45,5.62,5.59,5.94,10.0
603585.SH,苏利股份,农药化肥,18.2729,09:45,23.0,24.51,24.51,10.009
000950.SZ,重药控股,医药商业,17.6718,09:45,6.55,7.14,7.14,10.0154
600488.SH,津药药业,化学制药,17.1557,09:45,6.96,6.97,6.97,9.9369
002038.SZ,双鹭药业,生物制药,14.1878,09:45,8.6,9.06,8.98,5.0292
301683.SZ,C慧谷,染料涂料,14.5506,09:45,123.0,115.98,109.34,-12.6119
002902.SZ,铭普光磁,通信设备,14.9267,09:45,27.75,28.1,27.0,-2.3155
600594.SH,益佰制药,中成药,16.4094,09:45,4.81,5.09,4.7,-2.0833
002792.SZ,通宇通讯,通信设备,15.2272,09:45,42.01,45.34,45.34,9.9951
603123.SH,翠微股份,多元金融,13.9452,09:45,11.96,11.88,11.96,10.0276
603008.SH,喜临门,家居用品,12.8436,09:45,12.63,12.31,12.31,-10.0146
603803.SH,瑞斯康达,通信设备,12.8162,09:45,13.57,13.78,13.21,-0.3771
603757.SH,大元泵业,机械基件,12.4924,09:45,41.2,45.38,43.19,4.703
300812.SZ,易天股份,专用机械,13.6783,09:45,34.99,37.33,40.5,20.0
603222.SH,济民健康,医疗保健,11.3915,09:45,10.24,10.17,10.47,3.1527
002788.SZ,鹭燕医药,医药商业,11.3638,09:45,16.49,17.29,17.67,3.6972
002580.SZ,圣阳股份,电气设备,11.3032,09:45,16.7,15.38,15.37,-10.0117
300839.SZ,博汇股份,石油加工,10.908,09:45,17.01,15.46,14.72,-11.8035
301419.SZ,阿莱德,通信设备,10.9786,09:45,39.66,40.31,39.87,3.0499
002980.SZ,华盛昌,电器仪表,10.7279,09:45,42.38,45.24,46.09,10.0
300632.SZ,光莆股份,半导体,11.7722,09:45,16.23,16.24,16.61,11.2525
300608.SZ,思特奇,软件服务,10.4104,09:45,11.23,12.2,12.9,20.0
301015.SZ,百洋医药,医药商业,11.2094,09:45,26.0,27.06,25.96,-0.1538
600339.SH,中油工程,石油开采,10.6029,09:45,4.6,4.64,4.7,5.3812
300006.SZ,莱美药业,化学制药,10.6548,09:45,5.3,6.27,6.52,20.0737
002471.SZ,中超控股,电气设备,10.383,09:45,9.14,8.78,8.42,-10.0427
301312.SZ,智立方,专用机械,10.3769,09:45,105.81,107.69,114.62,10.9476
603042.SH,华脉科技,通信设备,10.2681,09:45,22.0,21.42,20.74,-4.6875
603618.SH,杭电股份,电气设备,10.204,09:45,28.69,29.49,27.65,-0.825
002361.SZ,神剑股份,化工原料,10.0793,09:45,17.12,16.59,15.74,-8.9647
002309.SZ,中利集团,电气设备,11.0015,09:45,4.85,4.81,5.03,1.004
605299.SH,舒华体育,文教休闲,11.5368,09:45,22.25,22.1,20.96,-8.6312
300069.SZ,金利华电,电气设备,11.1039,09:45,21.38,22.22,22.7,7.0755
000617.SZ,中油资本,多元金融,14.5628,09:45,10.91,10.64,10.7,7.8629
