代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
301696.SZ,C三瑞,化工,29.13,09:45,94.16,,102.88,20.0
002580.SZ,圣阳股份,电气设备,28.07,09:45,19.45,20.88,20.88,10.0105
603459.SH,C红板,元器件,24.61,09:45,54.13,63.74,62.82,14.0523
301667.SZ,纳百川,汽车配件,23.88,09:45,94.16,102.88,108.52,20.0044
001299.SZ,美能能源,供气供热,23.37,09:45,15.35,16.54,16.85,9.9869
000586.SZ,汇源通信,通信设备,22.59,09:45,20.35,20.35,21.6,-4.467
002263.SZ,大东南,塑料,22.45,09:45,4.8,5.02,4.99,1.8367
603777.SH,来伊份,食品,19.1,09:45,17.15,16.55,16.9,-0.4125
603629.SH,利通电子,元器件,17.91,09:45,73.98,74.95,72.68,0.0
000889.SZ,中嘉博创,通信设备,16.57,09:45,4.28,4.02,3.92,-9.8851
600654.SH,中安科,仓储物流,16.55,09:45,3.99,4.49,4.49,10.049
600152.SH,维科技术,电气设备,16.53,09:45,9.94,10.81,10.81,9.9695
002542.SZ,中化岩土,建筑工程,16.35,09:45,2.19,2.31,2.36,-2.8807
603803.SH,瑞斯康达,通信设备,16.28,09:45,14.3,15.26,15.26,10.0216
688813.SH,泰金新能,专用机械,15.98,09:45,49.18,52.98,57.6,20.0
605189.SH,富春染织,纺织,15.87,09:45,16.36,17.18,17.85,6.1868
002418.SZ,康盛股份,家用电器,15.87,09:45,5.89,6.26,6.26,10.0176
600337.SH,美克家居,家居用品,15.64,09:45,2.92,3.22,3.22,9.8976
002328.SZ,新朋股份,汽车配件,15.41,09:45,11.12,11.12,10.76,6.4293
605006.SH,山东玻纤,玻璃,15.33,09:45,9.97,10.56,10.58,4.5455
000890.SZ,法尔胜,环境保护,15.18,09:45,13.1,12.79,13.15,-7.4595
600345.SH,长江通信,通信设备,14.44,09:45,55.0,55.83,55.0,1.1773
600103.SH,青山纸业,造纸,13.95,09:45,4.3,4.09,4.0,2.3018
688811.SH,N有研,小金属,13.1,09:45,16.61,17.41,18.06,5.4907
000592.SZ,平潭发展,林业,12.99,09:45,12.15,11.81,11.69,2.2747
001331.SZ,胜通能源,供气供热,12.88,09:45,57.92,53.93,54.0,-7.5817
003036.SZ,泰坦股份,纺织机械,12.84,09:45,26.4,27.95,27.75,4.7961
002824.SZ,和胜股份,铝,12.8,09:45,24.99,26.31,27.1,7.2418
603933.SH,睿能科技,元器件,12.77,09:45,,,23.9,-2.5683
603538.SH,美诺华,化学制药,12.65,09:45,49.5,47.85,48.07,-3.0651
605162.SH,新中港,供气供热,12.53,09:45,13.5,13.41,13.8,-2.6112
301312.SZ,智立方,专用机械,12.43,09:45,116.08,124.16,122.74,7.6478
002342.SZ,巨力索具,机械基件,12.29,09:45,15.56,16.3,16.34,5.4194
600713.SH,南京医药,医药商业,12.23,09:45,6.29,5.99,5.86,-3.1405
603950.SH,长源东谷,汽车配件,11.8,09:45,52.0,52.61,54.31,10.0061
688135.SH,利扬芯片,半导体,11.61,09:45,30.97,35.63,35.63,20.0067
300300.SZ,海峡创新,软件服务,11.16,09:45,13.75,13.8,13.44,1.0526
600396.SH,华电辽能,火力发电,11.1,09:45,6.65,6.9,7.3,9.9398
600537.SH,亿晶光电,电气设备,10.79,09:45,4.18,4.35,4.21,3.4398
600488.SH,津药药业,化学制药,10.77,09:45,6.15,6.08,5.91,-7.9439
603230.SH,内蒙新华,出版业,10.51,09:45,11.99,11.51,11.32,-9.9443
300164.SZ,通源石油,石油开采,10.42,09:45,14.8,14.27,15.09,3.569
301053.SZ,远信工业,专用机械,10.22,09:45,50.59,50.67,55.05,4.5981
002962.SZ,五方光电,元器件,10.21,09:45,16.15,16.39,16.58,-1.9515
600864.SH,哈投股份,证券,10.1,09:45,6.85,7.22,7.4,5.2632
002051.SZ,中工国际,建筑工程,10.02,09:45,10.2,9.93,9.84,-8.2945
000919.SZ,金陵药业,化学制药,10.0,09:45,7.66,7.38,7.25,-8.575
