代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
301696.SZ,N三瑞,电气设备,36.18,09:45,90.0,97.82,92.0,272.7715
603230.SH,内蒙新华,出版业,27.8,09:45,13.4,13.38,12.57,3.202
688811.SH,有研复材,小金属,25.49,09:45,20.01,18.35,17.12,167.0827
603777.SH,来伊份,食品,23.61,09:45,16.67,16.97,16.97,9.9806
605189.SH,富春染织,纺织,22.61,09:45,16.49,17.25,16.81,4.9313
603459.SH,C红板,元器件,21.58,09:45,52.0,53.3,55.08,9.5683
000919.SZ,金陵药业,化学制药,19.8,09:45,8.13,7.87,7.93,-7.5758
603933.SH,睿能科技,元器件,19.59,09:45,24.53,24.53,24.53,10.0
603538.SH,美诺华,化学制药,19.26,09:45,47.46,46.8,49.59,8.989
002580.SZ,圣阳股份,电气设备,18.44,09:45,17.25,18.37,18.98,10.029
600488.SH,津药药业,化学制药,17.89,09:45,6.67,6.43,6.42,-9.322
000586.SZ,汇源通信,通信设备,17.48,09:45,24.6,22.61,22.61,-9.992
000889.SZ,中嘉博创,通信设备,17.42,09:45,4.35,4.35,4.35,10.1266
002962.SZ,五方光电,元器件,16.92,09:45,16.29,16.91,16.91,10.0195
300489.SZ,光智科技,专用机械,16.23,09:45,61.39,67.5,67.81,10.3678
605006.SH,山东玻纤,玻璃,16.08,09:45,9.16,9.41,10.12,10.0
002181.SZ,粤传媒,出版业,15.88,09:45,12.92,12.74,12.57,-2.179
600337.SH,美克家居,家居用品,15.44,09:45,2.86,3.09,2.93,2.4476
002263.SZ,大东南,塑料,15.33,09:45,4.31,4.9,4.9,10.1124
002342.SZ,巨力索具,机械基件,14.57,09:45,16.0,15.94,15.5,-0.5773
002051.SZ,中工国际,建筑工程,14.17,09:45,11.5,10.9,10.73,-6.6957
002107.SZ,沃华医药,中成药,14.14,09:45,7.77,7.39,7.53,-1.5686
600743.SH,华远控股,区域地产,13.49,09:45,2.59,2.65,2.65,9.9585
605162.SH,新中港,供气供热,13.49,09:45,13.8,14.2,14.17,0.1413
002328.SZ,新朋股份,汽车配件,13.43,09:45,9.78,10.11,10.11,10.0109
600654.SH,中安科,仓储物流,13.18,09:45,4.48,4.16,4.08,-8.9286
300658.SZ,延江股份,纺织,12.86,09:45,23.8,22.25,23.45,-4.1684
002560.SZ,通达股份,电气设备,12.77,09:45,13.4,13.77,13.57,2.2607
300651.SZ,金陵体育,文教休闲,12.67,09:45,33.05,31.58,30.94,-9.0535
002361.SZ,神剑股份,化工原料,12.63,09:45,16.41,16.96,16.49,0.4875
002213.SZ,大为股份,半导体,12.59,09:45,33.09,33.93,33.87,4.1833
601133.SH,柏诚股份,建筑工程,12.3,09:45,25.19,24.88,24.9,0.8914
002598.SZ,ST章鼓,机械基件,11.93,09:45,7.93,7.93,8.06,1.6393
600844.SH,金煤科技,化工原料,11.81,09:45,3.95,4.1,3.89,0.0
600396.SH,华电辽能,火力发电,11.77,09:45,7.19,6.76,6.64,-7.0028
603773.SH,沃格光电,元器件,11.71,09:45,40.5,41.7,43.14,9.9949
002636.SZ,金安国纪,元器件,11.6,09:45,38.11,37.0,35.93,-3.388
301292.SZ,海科新源,化工原料,11.52,09:45,81.08,87.77,85.49,4.9988
000720.SZ,新能泰山,电气设备,11.49,09:45,5.8,5.61,5.43,-9.9502
002788.SZ,鹭燕医药,医药商业,11.49,09:45,16.23,15.6,15.27,-8.1227
002491.SZ,通鼎互联,通信设备,11.4,09:45,15.5,15.04,14.59,-9.6035
605299.SH,舒华体育,文教休闲,11.39,09:45,21.55,20.66,19.58,-10.0184
002824.SZ,和胜股份,铝,11.12,09:45,24.77,25.27,25.27,10.0131
000890.SZ,法尔胜,环境保护,11.09,09:45,15.39,14.23,14.21,-10.0063
603315.SH,福鞍股份,环境保护,11.02,09:45,15.17,15.04,15.06,-0.7905
603687.SH,大胜达,广告包装,11.01,09:45,17.96,16.99,16.77,-7.6542
300706.SZ,阿石创,元器件,10.87,09:45,37.35,39.11,37.84,1.7751
300355.SZ,蒙草生态,环境保护,10.86,09:45,4.17,4.24,4.04,10.6849
603042.SH,华脉科技,通信设备,10.83,09:45,22.68,22.11,21.99,-5.7841
688693.SH,锴威特,半导体,10.61,09:45,80.07,77.9,81.11,3.3248
000070.SZ,特发信息,通信设备,10.54,09:45,20.88,19.94,19.76,-5.364
002980.SZ,华盛昌,电器仪表,10.49,09:45,56.79,52.73,53.01,-4.7953
000078.SZ,海王生物,医药商业,10.31,09:45,3.71,3.69,3.77,-1.8229
301373.SZ,凌玮科技,化工原料,10.22,09:45,81.76,85.59,82.58,1.5369
300720.SZ,海川智能,电器仪表,10.2,09:45,60.02,55.75,52.06,-19.9939
600126.SH,杭钢股份,普钢,10.14,09:45,9.0,8.89,8.83,-6.9547
600666.SH,奥瑞德,元器件,10.03,09:45,6.56,6.4,6.3,-3.9634
