code,name,industry,period,close,close_chg,price_0930,price_0945,close_chg_0930,turnover_rate_f
000533.SZ,顺钠股份,电气设备,423,14.45,-9.9688,14.75,15.16,2.78,22.39
000537.SZ,绿发电力,新型电力,423,11.65,10.0094,10.89,11.65,6.98,22.2
000751.SZ,锌业股份,铅锌,423,6.74,6.4771,6.4,6.56,2.5,29.64
000890.SZ,法尔胜,环境保护,423,16.76,9.9738,16.25,16.76,3.14,46.45
000995.SZ,皇台酒业,白酒,423,14.04,2.8571,13.76,14.14,2.76,26.46
001234.SZ,泰慕士,服饰,423,32.52,10.0135,29.82,32.52,9.05,32.98
002033.SZ,丽江股份,旅游景点,423,10.9,4.4061,10.39,10.5,1.06,36.03
002081.SZ,金螳螂,装修装饰,423,5.43,9.919,5.43,5.43,0.0,24.71
002194.SZ,武汉凡谷,通信设备,423,12.36,4.2159,12.3,12.98,5.53,26.01
002201.SZ,九鼎新材,玻璃,423,14.8,-3.3943,15.98,16.85,5.44,48.12
002297.SZ,博云新材,航空,423,22.24,9.6106,20.54,21.88,6.52,45.59
002418.SZ,康盛股份,家用电器,423,6.51,-3.4125,6.91,7.11,2.89,44.03
002560.SZ,通达股份,电气设备,423,14.27,3.1069,13.63,14.59,7.04,29.88
002580.SZ,圣阳股份,电气设备,423,26.97,0.8979,26.01,26.95,3.61,46.81
002866.SZ,传艺科技,IT设备,423,25.38,-7.033,27.32,27.65,1.21,37.7
003018.SZ,金富科技,塑料,423,54.77,4.9234,55.0,56.33,2.42,34.34
003027.SZ,同兴科技,环境保护,423,24.15,-3.9379,24.3,24.68,1.56,30.41
300265.SZ,通光线缆,电气设备,423,19.15,-8.8529,20.31,20.66,1.72,30.45
300292.SZ,吴通控股,互联网,423,5.45,5.4159,5.35,5.81,8.6,22.04
300590.SZ,移为通信,通信设备,423,14.56,20.033,14.22,14.56,2.39,21.81
300721.SZ,怡达股份,化工原料,423,17.69,20.0136,17.69,17.69,0.0,24.21
300865.SZ,大宏立,专用机械,423,29.83,7.4955,29.12,32.7,12.29,26.04
300890.SZ,翔丰华,电气设备,423,42.64,7.1626,39.59,40.59,2.53,46.64
300895.SZ,铜牛信息,软件服务,423,68.63,13.3256,64.23,70.7,10.07,50.14
301292.SZ,海科新源,化工原料,423,83.76,-14.6438,89.5,91.63,2.38,30.18
301408.SZ,华人健康,医药商业,423,20.94,4.1791,19.92,20.12,1.0,28.62
301513.SZ,C尚水,专用机械,423,85.92,-9.281,92.0,92.13,0.14,36.24
301526.SZ,国际复材,玻璃,423,14.99,7.148,14.91,15.46,3.69,27.32
301666.SZ,大普微-UW,IT设备,423,221.99,-1.2939,232.0,248.0,6.9,33.65
301667.SZ,纳百川,汽车配件,423,115.69,3.7299,112.15,114.99,2.53,53.53
600103.SH,青山纸业,造纸,423,5.14,-6.5455,5.32,5.68,6.77,40.98
600156.SH,华升股份,纺织,423,9.84,-2.6706,9.4,10.6,12.77,31.56
600396.SH,华电辽能,火力发电,423,9.83,9.9553,9.29,9.39,1.08,60.35
600488.SH,津药药业,化学制药,423,6.74,2.7439,6.43,6.8,5.75,41.44
600726.SH,华电能源,火力发电,423,5.27,10.0209,4.85,5.27,8.66,33.46
600815.SH,厦工股份,工程机械,423,4.07,-9.9558,4.59,4.71,2.61,36.32
600961.SH,株冶集团,铅锌,423,29.16,-0.0685,28.58,29.94,4.76,31.12
600986.SH,浙文互联,互联网,423,12.13,9.9728,11.33,12.13,7.06,23.47
603017.SH,中衡设计,建筑工程,423,16.46,10.0267,14.53,15.31,5.37,26.24
603178.SH,圣龙股份,汽车配件,423,19.08,-9.8299,19.04,19.04,0.0,46.29
603220.SH,中贝通信,通信设备,423,34.23,9.9936,30.92,33.31,7.73,31.23
603272.SH,联翔股份,家居用品,423,20.08,-9.9955,21.08,21.08,0.0,31.26
603618.SH,杭电股份,电气设备,423,31.41,10.0175,28.86,31.41,8.84,31.28
603629.SH,利通电子,元器件,423,116.48,7.6525,108.0,119.02,10.2,31.62
603687.SH,大胜达,广告包装,423,18.56,-0.1614,18.83,19.96,6.0,30.18
603906.SH,龙蟠科技,电气设备,423,30.45,6.3941,28.62,29.93,4.58,32.28
688813.SH,泰金新能,专用机械,423,75.18,0.0532,72.5,80.17,10.58,36.84
688820.SH,C盛合,半导体,423,88.6,-6.7368,94.5,102.22,8.17,38.39
