代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
301513.SZ,N尚水,专用机械,33.09,09:45,99.99,104.5,103.1,286.7217
301666.SZ,C大普微-UW,IT设备,26.0,09:45,262.0,255.0,231.5,-5.3363
002771.SZ,真视通,软件服务,24.86,09:45,20.21,18.74,18.52,0.8165
002297.SZ,博云新材,航空,24.18,09:45,17.01,17.69,17.69,10.0124
603687.SH,大胜达,广告包装,23.52,09:45,19.38,19.08,19.25,-2.9738
605388.SH,均瑶健康,乳制品,20.99,09:45,8.4,8.87,8.87,10.0496
002802.SZ,洪汇新材,化工原料,18.75,09:45,15.05,16.36,16.36,10.0202
301696.SZ,三瑞智能,电气设备,16.94,09:45,112.99,107.18,105.28,-8.4442
601778.SH,晶科科技,新型电力,16.55,09:45,7.0,7.1,6.91,3.7538
688811.SH,C有研,小金属,16.3,09:45,18.59,18.17,19.85,5.0821
002980.SZ,华盛昌,电器仪表,16.02,09:45,66.4,72.0,73.12,10.0045
002990.SZ,盛视科技,软件服务,15.89,09:45,48.07,50.95,50.95,9.9957
000815.SZ,美利云,通信设备,15.83,09:45,23.0,21.82,21.6,-2.7465
603906.SH,龙蟠科技,电气设备,15.7,09:45,25.8,26.1,25.99,3.7525
002580.SZ,圣阳股份,电气设备,15.46,09:45,29.13,30.58,30.58,10.0
301603.SZ,乔锋智能,机床制造,15.33,09:45,90.0,94.57,94.5,4.5238
300905.SZ,宝丽迪,染料涂料,15.18,09:45,55.58,55.58,55.58,19.9914
600396.SH,华电辽能,火力发电,15.15,09:45,7.29,7.39,7.14,-2.0576
603803.SH,瑞斯康达,通信设备,15.14,09:45,15.5,16.0,15.75,3.6184
603293.SH,N埃泰克,汽车配件,14.86,09:45,66.07,64.71,64.71,-8.8848
000889.SZ,中嘉博创,通信设备,14.8,09:45,4.85,5.1,5.29,5.8
002560.SZ,通达股份,电气设备,14.26,09:45,14.21,14.3,13.88,-0.2157
002263.SZ,大东南,塑料,14.24,09:45,5.26,5.09,4.98,-3.675
002033.SZ,丽江股份,旅游景点,13.73,09:45,10.92,10.42,10.43,-4.5746
600749.SH,西藏旅游,旅游景点,13.67,09:45,20.0,19.97,20.3,1.8565
603315.SH,福鞍股份,环境保护,13.62,09:45,17.01,18.42,18.52,9.9762
603118.SH,共进股份,通信设备,13.5,09:45,13.78,15.18,15.18,10.0
600664.SH,哈药股份,化学制药,13.41,09:45,4.25,4.29,4.17,-5.2273
688530.SH,欧莱新材,半导体,13.39,09:45,31.78,37.96,35.75,13.0256
300736.SZ,百邦科技,通信设备,13.36,09:45,24.74,24.75,24.61,3.4903
002824.SZ,和胜股份,铝,13.1,09:45,28.0,29.13,30.18,4.8645
603459.SH,红板科技,元器件,13.08,09:45,66.7,69.14,67.29,-2.0381
603985.SH,恒润股份,电气设备,12.84,09:45,25.1,24.05,24.6,0.2445
000004.SZ,*ST国华,软件服务,12.76,09:45,3.82,3.63,3.76,3.2967
603629.SH,利通电子,元器件,12.72,09:45,96.61,101.0,105.44,10.0052
600152.SH,维科技术,电气设备,12.14,09:45,12.22,12.9,13.9,9.9684
605299.SH,舒华体育,文教休闲,12.02,09:45,19.11,20.53,18.66,-3.3161
002940.SZ,昂利康,化学制药,12.01,09:45,35.96,37.51,39.16,10.0
002428.SZ,云南锗业,小金属,11.87,09:45,60.53,61.92,62.0,10.0071
002213.SZ,大为股份,半导体,11.79,09:45,39.06,38.27,37.73,-1.591
001896.SZ,豫能控股,火力发电,11.74,09:45,17.28,17.44,17.08,0.1172
301012.SZ,扬电科技,电气设备,11.71,09:45,32.19,36.61,33.98,3.5344
300798.SZ,锦鸡股份,染料涂料,11.63,09:45,12.96,12.34,11.95,-10.9538
002418.SZ,康盛股份,家用电器,11.57,09:45,5.57,5.6,6.19,9.9467
000062.SZ,深圳华强,元器件,11.52,09:45,29.5,30.06,29.76,3.9832
002361.SZ,神剑股份,化工原料,11.48,09:45,18.8,18.94,18.75,-2.648
301157.SZ,华塑科技,电气设备,11.36,09:45,76.1,81.99,85.74,7.8491
301189.SZ,奥尼电子,IT设备,11.32,09:45,77.58,84.0,82.0,0.1955
603778.SH,国晟科技,电气设备,11.05,09:45,24.8,24.15,24.25,-8.1439
301373.SZ,凌玮科技,化工原料,10.82,09:45,91.19,105.63,100.51,8.145
301090.SZ,华润材料,化工原料,10.66,09:45,7.78,8.44,9.01,16.2581
000570.SZ,苏常柴Ａ,农用机械,10.63,09:45,6.76,6.46,6.61,-1.9288
000978.SZ,桂林旅游,旅游景点,10.6,09:45,8.2,7.95,7.91,-6.9412
300076.SZ,GQY视讯,IT设备,10.52,09:45,4.93,4.81,4.76,-20.0
300243.SZ,瑞丰高材,化工原料,10.51,09:45,15.8,17.48,17.18,8.4596
600666.SH,奥瑞德,元器件,10.2,09:45,6.85,6.87,7.09,3.5036
301349.SZ,信德新材,化工原料,10.18,09:45,61.12,62.62,62.4,1.3316
002333.SZ,罗普斯金,其他建材,10.17,09:45,6.19,5.94,5.93,-7.1987
002957.SZ,科瑞技术,专用机械,10.1,09:45,43.0,45.77,45.97,10.0024
