代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
002940.SZ,昂利康,化学制药,29.1,09:45,42.1,40.14,39.8,1.6343
002560.SZ,通达股份,电气设备,22.2,09:45,14.65,15.27,15.27,10.0144
688811.SH,C有研,小金属,21.98,09:45,19.7,22.61,23.82,20.0
605299.SH,舒华体育,文教休闲,21.9,09:45,19.03,20.53,20.53,10.0214
002802.SZ,洪汇新材,化工原料,20.44,09:45,16.37,15.38,15.69,-4.0954
301513.SZ,N尚水,专用机械,19.83,09:45,92.0,90.88,96.56,-6.3434
603178.SH,圣龙股份,汽车配件,18.85,09:45,18.23,19.16,19.16,9.9885
002990.SZ,盛视科技,软件服务,17.67,09:45,54.01,52.28,49.0,-3.8273
300905.SZ,宝丽迪,染料涂料,17.11,09:45,63.01,57.95,55.11,-0.8456
605162.SH,新中港,供气供热,17.07,09:45,12.74,14.01,14.01,9.9686
002297.SZ,博云新材,航空,16.84,09:45,18.73,19.46,19.46,10.0057
002866.SZ,传艺科技,IT设备,15.95,09:45,26.79,26.85,26.63,0.9094
603315.SH,福鞍股份,环境保护,15.9,09:45,19.06,17.11,17.6,-4.9676
000586.SZ,汇源通信,通信设备,15.62,09:45,19.41,20.63,21.34,10.0
301053.SZ,远信工业,专用机械,14.83,09:45,63.0,61.12,63.63,-1.3488
002980.SZ,华盛昌,电器仪表,14.8,09:45,75.18,73.4,78.0,6.674
605388.SH,均瑶健康,乳制品,14.74,09:45,7.98,8.35,8.31,-6.3134
600152.SH,维科技术,电气设备,14.67,09:45,14.31,14.41,13.93,0.2158
688813.SH,泰金新能,专用机械,14.64,09:45,74.0,78.67,77.6,1.6239
301666.SZ,C大普微-UW,IT设备,13.79,09:45,224.67,230.0,237.99,2.8035
603278.SH,大业股份,钢加工,13.75,09:45,12.29,12.36,12.65,5.3289
688227.SH,品高股份,软件服务,13.58,09:45,121.63,121.63,116.66,15.0947
603906.SH,龙蟠科技,电气设备,13.1,09:45,25.92,27.65,27.31,5.0789
301603.SZ,乔锋智能,机床制造,12.94,09:45,98.81,104.0,103.5,9.5238
002771.SZ,真视通,软件服务,12.63,09:45,18.78,18.74,18.35,-0.9179
600156.SH,华升股份,纺织,12.54,09:45,9.28,10.19,10.19,10.0432
000037.SZ,深南电A,火力发电,12.23,09:45,11.2,10.96,10.92,-1.355
002361.SZ,神剑股份,化工原料,12.16,09:45,18.85,19.5,20.63,10.0267
603912.SH,佳力图,专用机械,11.91,09:45,10.54,11.59,11.59,9.962
300540.SZ,蜀道装备,专用机械,11.86,09:45,22.3,26.31,26.64,20.0
002309.SZ,中利集团,电气设备,11.84,09:45,4.03,4.26,4.38,10.0503
603459.SH,红板科技,元器件,11.72,09:45,65.73,64.63,62.91,-6.5091
002565.SZ,顺灏股份,造纸,11.67,09:45,18.95,19.88,20.29,7.241
603629.SH,利通电子,元器件,11.59,09:45,108.0,107.7,107.28,1.7451
001896.SZ,豫能控股,火力发电,11.54,09:45,17.32,17.17,18.79,10.0117
301319.SZ,唯特偶,元器件,11.5,09:45,68.87,68.57,70.25,2.7197
300651.SZ,金陵体育,文教休闲,11.49,09:45,29.0,30.64,30.43,2.527
002108.SZ,沧州明珠,塑料,11.29,09:45,5.71,5.6,5.83,4.4803
002333.SZ,罗普斯金,其他建材,11.28,09:45,5.89,6.1,6.06,2.1922
600743.SH,华远控股,区域地产,11.22,09:45,2.55,2.44,2.59,-3.7175
000889.SZ,中嘉博创,通信设备,11.04,09:45,5.42,5.24,5.14,-2.8355
002033.SZ,丽江股份,旅游景点,10.95,09:45,10.38,10.57,11.02,5.6568
600666.SH,奥瑞德,元器件,10.93,09:45,7.07,7.48,7.16,0.9873
002692.SZ,远程股份,电气设备,10.74,09:45,6.63,7.26,7.26,10.0
600103.SH,青山纸业,造纸,10.73,09:45,4.28,4.37,4.73,10.0
002428.SZ,云南锗业,小金属,10.73,09:45,63.86,68.2,68.2,10.0
002580.SZ,圣阳股份,电气设备,10.65,09:45,33.58,33.64,33.0,7.9137
001396.SZ,誉帆科技,建筑工程,10.35,09:45,48.31,49.65,47.93,2.4364
300489.SZ,光智科技,专用机械,10.25,09:45,70.26,76.1,76.0,7.163
002272.SZ,川润股份,机械基件,10.23,09:45,20.99,20.97,20.64,1.8756
002962.SZ,五方光电,元器件,10.21,09:45,17.39,19.09,18.08,4.2075
300571.SZ,平治信息,互联网,10.08,09:45,35.98,37.18,36.77,2.9684
600184.SH,光电股份,专用机械,10.03,09:45,22.45,24.44,24.44,9.991
