代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
301666.SZ,N大普微-UW,IT设备,38.84,09:45,207.23,216.24,244.55,430.7075
603293.SH,埃泰克,汽车配件,27.28,09:45,71.0,74.7,71.02,112.0633
002297.SZ,博云新材,航空,25.22,09:45,16.08,16.08,16.08,9.9863
600664.SH,哈药股份,化学制药,24.96,09:45,4.7,4.57,4.4,-0.9009
001299.SZ,美能能源,供气供热,24.59,09:45,15.98,15.04,15.38,-7.849
000919.SZ,金陵药业,化学制药,22.12,09:45,8.49,8.44,8.3,0.4843
603459.SH,红板科技,元器件,21.64,09:45,70.0,65.2,68.69,0.424
603778.SH,国晟科技,电气设备,20.15,09:45,24.13,27.63,26.4,-1.5293
002589.SZ,瑞康医药,医药商业,19.83,09:45,3.87,3.78,3.64,1.3928
002361.SZ,神剑股份,化工原料,19.58,09:45,18.5,18.85,19.26,3.8835
603687.SH,大胜达,广告包装,19.37,09:45,19.0,19.84,19.84,9.9778
002788.SZ,鹭燕医药,医药商业,18.73,09:45,16.4,16.19,15.7,-1.5674
002580.SZ,圣阳股份,电气设备,18.44,09:45,26.57,27.8,27.8,10.0119
688287.SH,*ST观典,航空,17.56,09:45,2.2,2.17,2.35,19.898
603698.SH,航天工程,专用机械,17.47,09:45,38.2,41.05,42.58,7.7157
600488.SH,津药药业,化学制药,17.35,09:45,6.54,6.33,6.29,-8.0409
301189.SZ,奥尼电子,IT设备,16.72,09:45,86.3,87.56,81.84,-5.2668
002328.SZ,新朋股份,汽车配件,16.5,09:45,12.5,13.28,13.4,7.2
002990.SZ,盛视科技,软件服务,16.31,09:45,42.42,46.27,46.32,9.9976
000570.SZ,苏常柴Ａ,农用机械,16.29,09:45,6.19,6.74,6.74,9.9511
002263.SZ,大东南,塑料,16.28,09:45,4.7,5.17,5.17,10.0
600082.SH,ST海泰,园区开发,16.16,09:45,3.0,3.0,3.0,-5.0633
603538.SH,美诺华,化学制药,16.1,09:45,55.5,54.78,56.0,0.9009
000788.SZ,北大医药,化学制药,15.48,09:45,6.9,6.7,6.66,-1.6248
605388.SH,均瑶健康,乳制品,15.46,09:45,7.33,7.17,8.06,9.9591
002940.SZ,昂利康,化学制药,15.2,09:45,31.61,35.6,35.6,10.0124
002980.SZ,华盛昌,电器仪表,15.15,09:45,70.91,66.11,66.47,-5.7698
301382.SZ,蜂助手,互联网,14.99,09:45,36.88,40.66,40.49,15.6857
600743.SH,华远控股,区域地产,14.89,09:45,2.85,2.68,2.65,-8.3045
600152.SH,维科技术,电气设备,14.57,09:45,11.9,12.01,12.64,4.7225
001896.SZ,豫能控股,火力发电,14.17,09:45,16.41,17.17,17.06,2.9572
002033.SZ,丽江股份,旅游景点,14.09,09:45,9.93,10.27,10.93,9.9598
000815.SZ,美利云,通信设备,13.99,09:45,20.18,22.21,22.21,10.005
301085.SZ,亚康股份,软件服务,13.95,09:45,69.0,67.6,67.26,4.3762
600396.SH,华电辽能,火力发电,13.93,09:45,7.68,7.31,7.29,-9.441
301408.SZ,华人健康,医药商业,13.88,09:45,21.23,20.27,20.59,-0.9143
002705.SZ,新宝股份,家用电器,13.35,09:45,18.13,18.13,17.89,3.1719
000889.SZ,中嘉博创,通信设备,13.34,09:45,4.57,4.53,5.0,5.4852
000586.SZ,汇源通信,通信设备,12.81,09:45,21.33,20.37,21.15,-2.9817
603629.SH,利通电子,元器件,12.69,09:45,87.95,94.0,95.85,8.9824
603890.SH,春秋电子,元器件,12.55,09:45,18.55,18.99,18.89,0.9621
002051.SZ,中工国际,建筑工程,12.17,09:45,11.54,11.63,11.59,-2.605
600636.SH,*ST国化,文教休闲,12.16,09:45,6.41,6.42,6.41,-5.037
002418.SZ,康盛股份,家用电器,12.02,09:45,5.5,5.62,5.63,2.3636
002038.SZ,双鹭药业,生物制药,12.0,09:45,8.2,8.07,7.91,-1.9827
605189.SH,富春染织,纺织,11.99,09:45,16.63,17.08,17.64,6.5861
603897.SH,长城科技,电气设备,11.97,09:45,46.1,50.6,50.6,10.0
002364.SZ,中恒电气,电气设备,11.92,09:45,44.0,42.17,42.8,-1.3825
002468.SZ,申通快递,仓储物流,11.85,09:45,18.0,17.97,18.03,10.0061
603815.SH,交建股份,建筑工程,11.82,09:45,6.51,6.62,6.69,5.1887
600594.SH,益佰制药,中成药,11.74,09:45,4.7,4.7,4.68,-1.6807
688811.SH,C有研,小金属,11.71,09:45,19.3,18.93,18.89,-4.596
002634.SZ,棒杰股份,服饰,11.63,09:45,6.04,6.04,6.04,-9.9851
600768.SH,宁波富邦,铝,11.6,09:45,16.7,17.52,17.52,9.9812
301696.SZ,C三瑞,电气设备,11.52,09:45,112.34,111.27,114.99,0.8773
300736.SZ,百邦科技,通信设备,11.39,09:45,19.7,19.36,23.78,19.9798
300027.SZ,华谊兄弟,影视音像,11.38,09:45,2.09,2.09,2.09,20.1149
002824.SZ,和胜股份,铝,11.26,09:45,30.83,29.4,28.78,-2.8359
605162.SH,新中港,供气供热,11.08,09:45,12.3,11.98,13.04,1.7161
301603.SZ,乔锋智能,机床制造,11.0,09:45,79.65,82.64,90.41,20.0027
000533.SZ,顺钠股份,电气设备,10.88,09:45,15.29,15.1,15.69,-2.6675
603803.SH,瑞斯康达,通信设备,10.79,09:45,15.0,15.13,15.2,-2.0619
301667.SZ,纳百川,汽车配件,10.64,09:45,103.51,104.89,102.58,-0.311
002805.SZ,丰元股份,电气设备,10.56,09:45,17.9,18.77,18.51,5.1107
002771.SZ,真视通,软件服务,10.34,09:45,16.9,18.37,18.37,10.0
002213.SZ,大为股份,半导体,10.29,09:45,34.89,34.44,38.34,10.0143
002124.SZ,天邦食品,农业综合,10.14,09:45,3.06,2.89,2.93,-6.6879
002467.SZ,二六三,互联网,10.06,09:45,7.81,7.92,7.91,3.6697
