代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
001234.SZ,泰慕士,服饰,36.79,09:45,36.85,38.2,32.19,-10.0084
000062.SZ,深圳华强,元器件,26.33,09:45,35.37,37.77,37.77,9.9884
300721.SZ,怡达股份,化工原料,24.93,09:45,19.61,23.48,22.43,6.8095
301500.SZ,飞南资源,环境保护,22.12,09:45,30.32,30.32,30.32,19.9842
600396.SH,华电辽能,火力发电,21.45,09:45,8.52,9.8,10.12,10.0
688221.SH,前沿生物-U,生物制药,20.63,09:45,22.0,22.74,22.74,20.0
600726.SH,华电能源,火力发电,19.36,09:45,5.64,5.75,6.38,10.0
000610.SZ,西安旅游,旅游服务,18.88,09:45,7.81,7.81,8.04,-2.1898
603318.SH,水发燃气,供气供热,18.7,09:45,12.24,12.53,12.53,10.0088
001211.SZ,双枪科技,家居用品,17.87,09:45,35.0,38.0,38.01,10.0145
600770.SH,综艺股份,综合类,17.28,09:45,7.53,7.67,6.96,-0.1435
002606.SZ,大连电瓷,电气设备,16.65,09:45,14.53,14.76,14.82,5.6308
688808.SH,联讯仪器,电器仪表,15.62,09:45,820.0,865.0,880.0,10.1377
300613.SZ,富瀚微,半导体,15.12,09:45,60.21,61.02,63.88,13.9087
002560.SZ,通达股份,电气设备,14.95,09:45,14.71,15.33,15.68,10.0351
000546.SZ,金圆股份,环境保护,14.84,09:45,6.94,7.48,7.24,1.1173
688530.SH,欧莱新材,半导体,14.73,09:45,43.61,46.2,46.2,20.0
603390.SH,通达电气,汽车配件,13.86,09:45,14.16,14.44,14.28,-2.1918
605299.SH,舒华体育,文教休闲,13.74,09:45,20.9,22.14,22.25,6.3067
300504.SZ,天邑股份,通信设备,13.52,09:45,17.12,18.5,17.47,8.7119
600736.SH,苏州高新,园区开发,13.45,09:45,8.14,8.14,7.65,-10.0
600152.SH,维科技术,电气设备,13.15,09:45,13.43,13.54,14.26,10.0309
600330.SH,天通股份,专用机械,13.14,09:45,27.6,28.48,27.42,5.9096
301077.SZ,星华新材,化工原料,13.09,09:45,34.37,36.33,35.04,-9.1993
300283.SZ,温州宏丰,电气设备,12.94,09:45,11.28,11.45,11.42,-2.8085
002731.SZ,ST萃华,服饰,12.54,09:45,5.07,5.2,5.07,-5.0562
002181.SZ,粤传媒,出版业,11.97,09:45,13.1,14.14,14.34,9.9693
002940.SZ,昂利康,化学制药,11.92,09:45,42.5,42.5,36.33,-8.9474
603272.SH,联翔股份,家居用品,11.74,09:45,24.3,24.3,24.3,10.0045
603738.SH,泰晶科技,元器件,11.59,09:45,40.91,42.82,38.93,-2.2105
002808.SZ,*ST恒久,元器件,11.36,09:45,3.3,3.64,3.3,-4.8991
600722.SH,金牛化工,化工原料,11.27,09:45,13.5,13.5,13.1,-6.3617
600370.SH,三房巷,化工原料,11.03,09:45,2.64,2.76,2.66,0.7576
600488.SH,津药药业,化学制药,10.94,09:45,5.6,5.8,5.62,-8.1699
600986.SH,浙文互联,互联网,10.62,09:45,12.0,12.14,11.43,-7.0732
002843.SZ,泰嘉股份,钢加工,10.62,09:45,26.7,27.36,26.72,0.2251
002081.SZ,金螳螂,装修装饰,10.57,09:45,4.52,4.59,4.43,-9.407
002217.SZ,合力泰,元器件,10.54,09:45,2.75,2.96,2.96,10.0372
688633.SH,星球石墨,专用机械,10.5,09:45,33.0,33.0,32.68,-2.7381
002361.SZ,神剑股份,化工原料,10.45,09:45,20.39,21.91,21.66,0.932
002580.SZ,圣阳股份,电气设备,10.41,09:45,27.26,28.17,28.82,4.0433
000626.SZ,远大控股,商贸代理,10.4,09:45,8.73,9.39,8.95,4.8009
002980.SZ,华盛昌,电器仪表,10.39,09:45,79.68,80.58,80.9,-1.6891
688820.SH,C盛合,半导体,10.33,09:45,96.5,100.0,101.1,7.7595
600633.SH,浙数文化,互联网,10.29,09:45,14.33,14.41,13.58,-10.0066
600433.SH,冠豪高新,造纸,10.25,09:45,4.06,4.4,4.4,10.0
300067.SZ,安诺其,染料涂料,10.23,09:45,6.76,6.76,6.52,-2.2489
301666.SZ,大普微-UW,IT设备,10.17,09:45,245.06,245.99,239.71,2.2217
688693.SH,锴威特,半导体,10.15,09:45,83.66,91.4,95.99,14.9994
002176.SZ,江特电机,小金属,10.15,09:45,13.83,14.27,14.49,6.3877
