代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
001299.SZ,美能能源,供气供热,30.08,09:45,18.36,17.35,16.69,-9.9784
600396.SH,华电辽能,火力发电,29.36,09:45,8.13,8.1,8.05,0.2491
002580.SZ,圣阳股份,电气设备,24.33,09:45,24.48,25.27,25.27,10.0131
603459.SH,C红板,元器件,24.14,09:45,60.36,66.98,68.4,10.0032
301189.SZ,奥尼电子,IT设备,21.5,09:45,84.59,86.39,86.39,20.0028
002328.SZ,新朋股份,汽车配件,20.64,09:45,11.9,12.05,12.5,5.5743
603803.SH,瑞斯康达,通信设备,20.18,09:45,15.21,15.74,15.52,3.4667
600743.SH,华远控股,区域地产,20.02,09:45,3.53,2.97,2.89,-9.9688
000586.SZ,汇源通信,通信设备,16.48,09:45,22.72,22.08,21.8,-5.994
002364.SZ,中恒电气,电气设备,16.26,09:45,42.49,42.66,43.4,2.1417
688813.SH,泰金新能,专用机械,16.06,09:45,70.0,70.33,69.71,0.8536
002107.SZ,沃华医药,中成药,15.56,09:45,8.39,7.81,7.95,1.5326
688805.SH,健信超导,医疗保健,15.43,09:45,49.09,54.2,56.92,20.0084
600664.SH,哈药股份,化学制药,14.88,09:45,4.28,4.09,4.44,9.901
002342.SZ,巨力索具,机械基件,14.87,09:45,17.03,18.33,18.29,6.6472
603585.SH,苏利股份,农药化肥,14.83,09:45,26.14,26.36,24.97,-5.4167
605162.SH,新中港,供气供热,14.26,09:45,13.33,13.47,12.82,-8.7544
002124.SZ,天邦食品,农业综合,14.14,09:45,2.99,3.14,3.14,10.1754
603890.SH,春秋电子,元器件,13.91,09:45,17.14,18.5,18.71,9.9941
688811.SH,C有研,小金属,13.5,09:45,18.32,19.12,19.8,8.0786
603256.SH,宏和科技,玻璃,13.45,09:45,98.27,107.0,102.07,4.1531
301696.SZ,C三瑞,电气设备,13.38,09:45,116.18,118.0,113.99,-5.1585
002051.SZ,中工国际,建筑工程,13.18,09:45,11.39,11.9,11.9,9.9815
002361.SZ,神剑股份,化工原料,12.95,09:45,16.85,17.35,18.54,10.0297
600855.SH,航天长峰,专用机械,12.93,09:45,19.42,20.03,19.94,3.6921
000889.SZ,中嘉博创,通信设备,12.9,09:45,4.32,4.14,4.74,9.9768
000919.SZ,金陵药业,化学制药,12.9,09:45,7.88,7.86,8.26,9.9867
688287.SH,*ST观典,航空,12.76,09:45,1.82,1.96,1.96,20.2454
301683.SZ,慧谷新材,染料涂料,12.59,09:45,121.01,128.61,130.67,7.9204
301682.SZ,宏明电子,元器件,12.49,09:45,117.45,125.3,125.71,7.6008
600152.SH,维科技术,电气设备,12.43,09:45,12.4,13.08,12.07,1.5139
688655.SH,迅捷兴,元器件,12.37,09:45,34.86,34.59,34.85,5.3825
603629.SH,利通电子,元器件,12.15,09:45,81.55,83.56,87.95,10.0063
001896.SZ,豫能控股,火力发电,12.13,09:45,15.06,15.5,16.57,10.0266
301667.SZ,纳百川,汽车配件,11.98,09:45,110.01,106.29,102.9,-6.446
301292.SZ,海科新源,化工原料,11.93,09:45,102.0,98.53,93.32,-12.6708
002552.SZ,宝鼎科技,元器件,11.86,09:45,19.78,20.97,20.36,6.8206
002149.SZ,西部材料,小金属,11.83,09:45,52.0,54.39,53.65,7.3
301079.SZ,邵阳液压,机械基件,11.75,09:45,47.19,49.96,48.19,0.8581
300854.SZ,中兰环保,环境保护,11.69,09:45,26.71,30.21,28.56,5.8954
603002.SH,宏昌电子,化工原料,11.52,09:45,13.0,13.71,12.88,0.1555
600654.SH,中安科,仓储物流,11.48,09:45,4.5,4.48,4.41,-2.4336
301232.SZ,飞沃科技,机械基件,11.17,09:45,196.66,219.14,216.12,10.808
002902.SZ,铭普光磁,通信设备,11.04,09:45,30.06,30.95,29.8,-1.6177
002418.SZ,康盛股份,家用电器,11.01,09:45,5.99,5.73,5.5,-9.8361
002990.SZ,盛视科技,软件服务,10.85,09:45,37.96,39.06,42.11,10.0052
603698.SH,航天工程,专用机械,10.83,09:45,39.5,39.53,39.53,9.9889
603327.SH,福蓉科技,元器件,10.5,09:45,9.61,10.54,10.54,10.0209
300900.SZ,广联航空,航空,10.48,09:45,40.67,43.1,41.4,3.6814
002213.SZ,大为股份,半导体,10.37,09:45,37.97,36.07,34.85,-8.4821
600488.SH,津药药业,化学制药,10.34,09:45,6.18,6.01,6.84,9.9678
002866.SZ,传艺科技,IT设备,10.19,09:45,24.11,24.68,23.62,-1.2542
301157.SZ,华塑科技,电气设备,10.1,09:45,78.0,76.3,73.83,-4.9807
