代码,名称,行业,换手率,时间段,9:30价格,9:45价格,收盘价,收盘涨幅
300834.SZ,星辉环材,化工原料,29.29,09:30-09:45,41.01,43.48,43.49,+20.01
000788.SZ,北大医药,化学制药,26.89,09:30-09:45,7.15,7.22,7.22,+10.06
002560.SZ,通达股份,电气设备,21.95,09:30-09:45,12.99,13.06,13.06,+10.03
000720.SZ,新能泰山,电气设备,20.95,09:30-09:45,4.87,5.40,5.40,+9.98
002361.SZ,神剑股份,化工原料,20.67,09:30-09:45,17.10,18.20,17.29,+1.71
600249.SH,两面针,日用化工,19.97,09:30-09:45,7.71,7.46,7.14,+1.85
002923.SZ,润都股份,化学制药,17.62,09:30-09:45,18.80,17.29,17.35,+0.64
605299.SH,舒华体育,文教休闲,17.37,09:30-09:45,20.91,22.15,22.94,+6.20
301188.SZ,力诺药包,玻璃,17.26,09:30-09:45,21.84,23.74,23.59,+15.35
000078.SZ,海王生物,医药商业,15.51,09:30-09:45,3.79,3.56,3.61,+4.64
301079.SZ,邵阳液压,机械基件,14.81,09:30-09:45,43.44,45.65,43.70,+0.30
300683.SZ,海特生物,生物制药,13.84,09:30-09:45,47.05,46.01,47.42,-2.79
001257.SZ,C盛龙,小金属,13.78,09:30-09:45,23.33,23.79,24.78,+0.20
688813.SH,N泰金,专用机械,13.13,09:30-09:45,45.06,44.84,44.34,-6.24
002578.SZ,闽发铝业,铝,13.08,09:30-09:45,4.52,4.39,4.24,-2.97
600310.SH,广西能源,水力发电,12.72,09:30-09:45,5.28,5.23,5.14,-9.98
000008.SZ,神州高铁,运输设备,12.70,09:30-09:45,3.24,3.07,3.12,-4.59
300164.SZ,通源石油,石油开采,12.55,09:30-09:45,15.23,15.50,15.72,+6.29
603248.SH,锡华科技,机械基件,11.84,09:30-09:45,30.68,30.02,29.41,-2.19
300839.SZ,博汇股份,石油加工,10.92,09:30-09:45,16.36,16.69,16.69,+19.99
603778.SH,国晟科技,电气设备,10.88,09:30-09:45,27.99,27.59,29.16,+6.04
603937.SH,丽岛新材,铝,10.64,09:30-09:45,15.27,14.81,14.77,-3.27
002218.SZ,拓日新能,新型电力,10.26,09:30-09:45,6.51,6.77,6.54,+0.15
600513.SH,联环药业,化学制药,10.21,09:30-09:45,29.85,29.35,30.75,+1.49
002580.SZ,圣阳股份,电气设备,10.20,09:30-09:45,17.60,17.59,17.08,-6.97
603601.SH,再升科技,玻璃,10.16,09:30-09:45,15.15,14.96,14.10,-5.18
300149.SZ,睿智医药,生物制药,10.10,09:30-09:45,12.50,11.95,12.74,+2.58
002342.SZ,巨力索具,机械基件,10.07,09:30-09:45,14.18,14.64,13.80,-3.23
600101.SH,明星电力,水力发电,10.05,09:30-09:45,9.69,10.07,9.96,+4.08
